Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Sedan,"4,545",Mar 2023,Tata Tigor,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",83.81bhp,20.3 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Tigor-Xm-cars-Bangalore_9e1a9c4d-6ade-4728-a56a-f61b34a34976.htm,₹ 7 Lakh,2023
Petrol,Hatchback,"70,404",Jul 2011,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Bangalore_fcca8aba-a55c-4b5f-b350-05a1dbf7869c.htm,₹ 4.10 Lakh,2011
Petrol,Sedan,"39,725",Jun 2016,Maruti Ciaz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",91.1bhp,20.73 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ciaz-Vxi-Option-cars-Bangalore_2b1179b3-ac92-4bc0-970b-1a858f2bcb46.htm,₹ 6.85 Lakh,2016
Petrol,Sedan,"10,000",2022,BMW 3 Series,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",254.79bhp,16.13 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-3-Series-330i-M-Sport-cars-Bangalore_e2e48367-9dc8-4584-9f00-51f5b9eb97c2.htm,₹ 55 Lakh,2022
Diesel,SUV,"10,000",2022,Kia Seltos,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",113.42bhp,17.8 kmpl,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Htk-Plus-At-D-cars-Bangalore_3dcde98d-5e6d-4e34-95cf-c76c4da64454.htm,₹ 18 Lakh,2022
Petrol,Hatchback,"60,000",2006,Maruti Wagon R,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",67.1bhp,18.9 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Lxi-cars-Bangalore_47436393-87c3-4888-8e4e-260562a5110c.htm,₹ 1.80 Lakh,2006
Petrol,SUV,"50,000",2018,Ford Ecosport,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",121.31bhp,17 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Bsiv-cars-Bangalore_0e3053f3-4c2d-4c0b-8c44-c5f232a4cd36.htm,₹ 7.65 Lakh,2018
Petrol,SUV,"10,000",2023,MG Hector,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",141bhp,13.79 kmpl,https://www.cardekho.com/used-car-details/used-Mg-Hector-1.5-Turbo-Smart-Pro-Bsvi-cars-Bangalore_24ee5fb1-03db-4b20-b1fd-53a72f377c19.htm,₹ 19.50 Lakh,2023
Petrol,Sedan,"50,000",2013,Hyundai Elantra,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",147.5bhp,16.3 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-S-cars-Bangalore_b6b17603-e7c6-4221-929a-e267af50a388.htm,₹ 4.91 Lakh,2013
Diesel,SUV,"23,272",Mar 2021,Ford Ecosport,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",98.96bhp,21.7 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Diesel-Titanium-cars-Bangalore_a70c81c2-42b9-41dd-847f-3982456ec30e.htm,₹ 11.75 Lakh,2021
